"Agency","Route","Direction","Service Key","Language","Original StopID / PlaceID","Printed Stop ID","Printed Name / Description"
"","53","*","*","","9977","9977","Beaverton Transit Center"
"","54","Inbound","*","","929","929","Capitol Hwy & Sunset"
"","54","Outbound","*","","955","955","Capitol Hwy & Sunset"
"","54","*","*","","9979","9979","Beaverton Transit Center"
"","55","Inbound","*","","3053","3053","SW Jefferson & 18th"
"","55","Outbound","*","","12792","12792",
"","55","Outbound","*","","12792","12792","SW Columbia & 17th"
"","55","Outbound","*","","12793","12793","SW Columbia & 6th"
"","56","Inbound","*","","929","929","Capitol Hwy & Sunset"
"","56","Outbound","*","","955","955","Capitol Hwy & Sunset"
"","56","*","*","","9649","9649","Washington Square Transit Center"
"","57","Outbound","*","","32","32","Adair & 14th Cornelius"
"","57","Inbound","*","","273","273","Baseline & 14th Cornelius"
"","57","Outbound","*","","5613","5613","TV Hwy & Witch Hazel"
"","57","Inbound","*","","5614","5614","TV Hwy & Witch Hazel"
"","57","Outbound","*","","5635","5635","Tualatin Valley Hwy & 198th"
"","57","Inbound","*","","9207","9207","Tualatin Valley Hwy & 198th"
"","57","Inbound","*","","9955","9955","Hillsboro Central Transit Center"
"","57","Outbound","*","","9956","9956","Hillsboro Central Transit Center"
"","57","*","*","","9984","9984","Beaverton Transit Center"
"","59","Inbound","*","","9610","9610","Willow Creek Transit Center"
"","59","Outbound","*","","9622","9622","Willow Creek Transit Center"
"","59","*","*","","9972","9972","Sunset Transit Center"
"","60","*","*","","9974","9974","Sunset Transit Center"
"","61","*","*","","9986","9986","Beaverton Transit Center"
"","62","Outbound","*","","1182","1182","Cornell Rd & Saltzman"
"","89","Outbound","*","","1182","1182","Cornell Rd & Saltzman"
"","62","Inbound","*","","1183","1183","Cornell Rd & Saltzman"
"","89","Inbound","*","","1183","1183","Cornell Rd & Saltzman"
"","62","Outbound","*","","4068","4068","Murray & Farmington"
"","62","Inbound","*","","4069","4069","Murray & Farmington"
"","62","Outbound","*","","8618","8618","Scholls Ferry & Murray Blvd"
"","62","Inbound","*","","8625","8625","Scholls Ferry & Murray Blvd"
"","62","*","*","","9625","9625","Sunset Transit Center"
"","62","*","*","","9651","9651","Washington Square Transit Center"
"","63","Outbound","*","","4221","4221","Washington Park MAX Station"
"","63","Inbound","*","","10299","10299","Washington Park MAX Station"
"","63","Inbound","*","","10299","10299","Washington Park MAX Station"
"","63","Outbound","*","","12790","12790","Jefferson & 4th"
"","63","Inbound","*","","12790","12790","Jefferson & 4th"
"","64","Inbound","*","","972","972","Capitol Hwy & 35th"
"","64","Outbound","*","","5878","10865","Capitol Hwy & 35th"
"","65","Outbound","*","","199","199","Barbur & Bertha South"
"","65","Inbound","*","","10848","10848","Barbur & Bertha North"
"","65","*","*","","11211","11211","Burlingame Bertha & Barbur"
"","66","*","*","","10871","10871","Hollywood Transit Center"
"","67","*","*","","4429","4429","PCC Rock Creek"
"","67","*","*","","9980","9980","Beaverton Transit Center"
"","67","Outbound","*","","10084","10084","Bethany Blvd & Cornell Rd"
"","67","Inbound","*","","10116","10116","Cornell Rd & Bethany Blvd"
"","67","Inbound","*","","10126","10126","Merlo Rd/158th MAX Station"
"","67","*","*","","10126","10126","Merlo Rd/158th MAX Station"
"","67","Outbound","*","","8840x","8840x","Springville Rd & PCC Drive"
"","70","*","*","","2592","2592","Rose Quarter Transit Center"
"","70","Outbound","*","","6708","6708","13th & Tacoma"
"","70","Inbound","*","","6709","6709","13th & Tacoma"
"","70","Outbound","*","","8513","8513","11th & Holladay"
"","70","Inbound","*","","8937","8937","11th & Holladay"
"","71","*","*","","10851","10851","Parkrose / Sumner Transit Center"
"","72","Inbound","*","","3199","3199","Killingsworth & 42nd"
"","72","Outbound","*","","3200","3200","Killingsworth & 42nd"
"","74","Inbound","*","","8938","8938","Lloyd Center 11th & Multnomah"
"","75","Inbound","*","","3506","3506","Lombard Transit Center"
"","75","Outbound","*","","3507","3507","Lombard Transit Center"
"","75","Inbound","*","","10868","10868","Hollywood Transit Center"
"","75","Outbound","*","","10872","10872","Hollywood Transit Center"
"","76","Inbound","*","","2285","2285","Hall Blvd & Hart Rd"
"","76","Outbound","*","","2286","2286","Hall Blvd & Hart Rd"
"","76","Inbound","*","","5846","5846","Tigard Transit Center"
"","76","Outbound","*","","8212","8212","Tigard Transit Center"
"","76","Inbound","*","","9650","9650","Washington Square Transit Center"
"","76","Outbound","*","","9653","9653","Washington Square Transit Center"
"","76","Inbound","*","","9981","9981","Beaverton Transit Center"
"","76","Outbound","*","","9981","9981","Beaverton Transit Center"
"","77","Inbound","*","","629","629","Lloyd Center Broadway & 12th"
"","77","Inbound","*","","10869","10869","Hollywood Transit Center"
"","77","Outbound","*","","10870","10870","Hollywood Transit Center"
"","78","Inbound","*","","2285","2285","Hall Blvd & Hart Rd"
"","78","Outbound","*","","2286","2286","Hall Blvd & Hart Rd"
"","78","Inbound","*","","5846","5846","Tigard Transit Center"
"","78","Inbound","*","","9650","9650","Washington Square Transit Center"
"","78","Outbound","*","","9653","9653","Washington Square Transit Center"
"","78","*","*","","9982","9982","Beaverton Transit Center"
"","78","Outbound","*","","10180","10180","Tigard Transit Center"
"","79","Outbound","*","","5265","5265","South End Rd & Hwy 99E"
"","79","Outbound","*","","5283","5283","South End Rd & Warner-Parrot Rd"
"","79","*","*","","8760","8760",
"","85","Outbound","*","","11950","11950","Cutter Circle & Leverman"
"","90","Outbound","*","","10118","10118","Goose Hollow/SW Jefferson"
"","90","Outbound","*","","10572","10572","Parkrose/Sumner TC"
"","90","Inbound","*","","10573","10573","Parkrose/Sumner TC"
"","92","Inbound","*","","9171","9171","Teal Blvd & 155th Ave"
"","92","Inbound","*","","12790","12790","SW Jefferson & 4th"
"","92","Outbound","*","","12792","12792","SW Columbia & 17th"
"","94","Inbound","*","","12773","12773","SW 4th & Oak"
"","96","*","*","","3049","3049","SW Jefferson & 10th"
"","96","*","*","","7879","7879","Tualatin Park & Ride"
"","99","Inbound","*","","12768","12768","SW 4th & Salmon"
"","101","Outbound","*","","199","199","Burlingame Barbur & Bertha"
"","101","Inbound","*","","863","863","Cameron & Shattuck"
"","101","Inbound","*","","6025","6025","Vermont & Chestnut"
"","101","Outbound","*","","6026","6026","Vermont & Chestnut"
"","101","Inbound","*","","6029","6029","Vermont & 45th West"
"","101","Outbound","*","","6029","6029","Vermont & 45th West"
"","101","Inbound","*","","6045","6045","Vermont & 45th East"
"","101","Outbound","*","","6045","6045","Vermont & 45th East"
"","101","Inbound","*","","11211","11211","Burlingame Barbur & Bertha"
"","101","Inbound","*","","11211","11211","Burlingame Barbur & Bertha"
"","104","Inbound","*","","1416","1416","Division & 162nd"
"","104","Inbound","*","","1499","1499","Division & 82nd"
"","104","*","*","","12780","12780","SW 3rd & Pine"
"","109","Inbound","*","","4572","4572","Powell & 122nd"
"","109","Outbound","*","","4573","4573","Powell & 122nd"
"","109","Inbound","*","","4617","4617","Powell & 182nd"
"","109","Outbound","*","","4618","4618","Powell & 182nd"
"","109","Outbound","*","","4651","4651","Powell & 39th"
"","109","Outbound","*","","4693","4693","Powell & 82nd"
"","109","Inbound","*","","9813","9813","NW Hoyt & Broadway/Union Station"
"","109","Outbound","*","","12780","12780","SW 3rd & Oak"
"","109","Outbound","*","","12805","12805","NW Broadway & Hoyt"
"","110","Inbound","*","","1787","1787","Foster & 122nd"
"","110","Outbound","*","","1787","1787","Foster & 122nd"
"","110","Outbound","*","","2539","2539","Harold & 136th"
"","110","Inbound","*","","2540","2540","Harold & 136th"
"","110","Outbound","*","","5524","5524","Steele & 39th"
"","110","Inbound","*","","5525","5525","Steele & 39th"
"","110","Outbound","*","","8664","8664","Foster & 82nd"
"","112","Outbound","*","","5104","5104","Sandy & 57th"
"","112","Inbound","*","","5105","5105","Sandy & 57th"
"","112","Outbound","*","","5138","5138","Sandy & 82nd"
"","112","Inbound","*","","5139","5139","Sandy & 82nd"
"","112","Outbound","*","","10315","10315","Sandy & 181st"
"","112","Inbound","*","","10318","10318","Sandy & 181st"
"","112","Inbound","*","","10822","10822","Sandy & 148th"
"","112","Inbound","*","","10850","10850","Parkrose / Sumner Transit Center"
"","112","Outbound","*","","10853","10853","Parkrose / Sumner Transit Center"
"","115","Inbound","*","","5020","5020","SW Salmon & 5th"
"","115","Inbound","*","","6911","6911","SW 18th & Morrison"
"","117","Outbound","*","","2726","2726","Holgate & 39th"
"","117","Inbound","*","","2727","2727","Holgate & 39th"
"","117","Outbound","*","","2762","2762","Holgate & 82nd"
"","117","Inbound","*","","2763","2763","Holgate & 82nd"
"","117","Outbound","*","","12780","12780","SW 3rd & Pine"
"","117","Inbound","*","","12785","12785","SW 3rd & Taylor"
"","119","Inbound","*","","6409","6409","Woodstock & 39th"
"","119","Outbound","*","","6411","6411","Woodstock & 39th"
"","119","Inbound","*","","10189","10189","28th & Woodstock"
"","119","Outbound","*","","12780","12780","SW 3rd & Pine"
"","133","Inbound","*","","1870","1870","Fremont & 33rd"
"","133","Outbound","*","","1871","1871","Fremont & 33rd"
"","133","Inbound","*","","10864","10864","Gateway Transit Center"
"","133","Outbound","*","","10864","10864","Gateway Transit Center"
"","133","Inbound","*","","11813","11813","Interstate & Multnomah Rose Quarter"
"","133","Inbound","*","","11813","11813","Interstate & Multnomah Rose Quarter"
"","133","Outbound","*","","11814","11814","Interstate  & Holladay Rose Quarter"
"","133","Outbound","*","","11814","11814","Interstate & Holladay"
"","135","Inbound","*","","11813","11813","Rose Quarter Interstate & Multnomah"
"","135","Outbound","*","","11814","11814","Rose Quarter Interstate & Holladay"
"","144","Outbound","*","","1097","1097","Rose Quarter Transit Center"
"","74","Inbound","*","","1097","1097","Rose Quarter Transit Center"
"","85","*","*","","1098","1098","Rose Quarter Transit Center"
"","144","Inbound","*","","1098","1098","Rose Quarter Transit Center"
"","74","Outbound","*","","1098","1098","Rose Quarter Transit Center"
"","144","Inbound","*","","4470","4470","Portland Blvd & Greeley"
"","144","Outbound","*","","4471","4471","Portland Blvd & Greeley"
"","144","Inbound","*","","12781","12781","SW 3rd & Oak"
"","180","Inbound","*","","4518","4518","Powell & Burnside"
"","180","Outbound","*","","4545","4545","Powell & Burnside"
"","190","Outbound","*","","8334","8334","Pioneer Square South"
"","190","Inbound","*","","11501","11501","Lombard Transit Center"
"","190","Inbound","*","","11507","11507","Interstate Rose Quarter"
"","190","Outbound","*","","11508","11508","Interstate Rose Quarter"
"","190","Outbound","*","","11514","11514","Lombard Transit Center"
"","254","Inbound","*","","929","929","Capitol Hwy & Sunset"
"","254","Outbound","*","","955","955","Capitol Hwy & Sunset"
"","254","Inbound","*","","9649","9649","Washington Square Transit Center"
"","254","Outbound","*","","9649","9649","Washington Square Transit Center"
"","254","Inbound","*","","9979","9979","Beaverton Transit Center"
"","254","Outbound","*","","9979","9979","Beaverton Transit Center"
"","254","Outbound","*","","12781","12781","SW 3rd & Oak"
"","280","Inbound","*","","4518","4518","Powell & Burnside"
"","280","Outbound","*","","4545","4545","Powell & Burnside"
"","100","Outbound","*","","8354","8354","Rockwood TC/E 188th Ave"
"","10090","Outbound","*","","8354","8354","Rockwood TC/E 188th Ave"
"","100","Outbound","*","","8355","8355","Ruby Junction/E 197th Ave"
"","10090","Outbound","*","","8355","8355","Ruby Junction/E 197th Ave"
"","100","Inbound","*","","8362","8362","Ruby Junction/E 197th Ave"
"","10090","Inbound","*","","8362","8362","Ruby Junction/E 197th Ave"
"","100","Inbound","*","","8363","8363","Rockwood TC/E 188th Ave"
"","10090","Inbound","*","","8363","8363","Rockwood TC/E 188th Ave"
"","100","Outbound","*","","9831","9831","Willow Crk/SW 185th Ave TC"
"","10090","Outbound","*","","9831","9831","Willow Crk/SW 185th Ave TC"
"","100","Inbound","*","","9832","9832","Willow Crk/SW 185th Ave TC"
"","10090","Inbound","*","","9832","9832","Willow Crk/SW 185th Ave TC"
"","100","Inbound","*","","9837","9837","Fair Complex/Hillsboro Airport"
"","10090","Inbound","*","","9837","9837","Fair Complex/Hillsboro Airport"
"","100","Outbound","*","","9838","9838","Fair Complex/Hillsboro Airport"
"","10090","Outbound","*","","9838","9838","Fair Complex/Hillsboro Airport"
"","100","Outbound","*","","8334","8334","Pioneer Square South"
"","10090","Outbound","*","","8334","8334","Pioneer Square South"
"","90","Outbound","*","","8334","8334","Pioneer Square South"
"","100","Outbound","*","","8344","8344","Hollywood TC/NE 42nd Ave"
"","10090","Outbound","*","","8344","8344","Hollywood TC/NE 42nd Ave"
"","90","Outbound","*","","8344","8344","Hollywood TC/NE 42nd Ave"
"","100","Outbound","*","","8347","8347","Gateway TC/NE 99th Ave"
"","10090","Outbound","*","","8347","8347","Gateway TC/NE 99th Ave"
"","90","Outbound","*","","8347","8347","Gateway TC/NE 99th Ave"
"","100","Inbound","*","","8370","8370","Gateway TC/NE 99th Ave"
"","10090","Inbound","*","","8370","8370","Gateway TC/NE 99th Ave"
"","90","Inbound","*","","8370","8370","Gateway TC/NE 99th Ave"
"","100","Inbound","*","","8373","8373","Hollywood TC/NE 42nd Ave"
"","10090","Inbound","*","","8373","8373","Hollywood TC/NE 42nd Ave"
"","90","Inbound","*","","8373","8373","Hollywood TC/NE 42nd Ave"
"","100","*","*","","9827","9827","Merlo Rd/SW 158th Ave"
"","10090","Inbound","*","","9827","9827","Merlo Rd/SW 185th Ave"
"","90","Inbound","*","","9827","9827","Merlo Rd/SW 185th Ave"
"","100","*","*","","9828","9828","Merlo Rd/SW 158th Ave"
"","10090","Outbound","*","","9828","9828","Merlo Rd/SW 185th Ave"
"","90","Outbound","*","","9828","9828","Merlo Rd/SW 158th Ave"
"","100","Inbound","*","","9829","9829","Elmonica/SW 170th Ave"
"","10090","Inbound","*","","9829","9829","Elmonica/SW 170th Ave"
"","90","Inbound","*","","9829","9829","Elmonica/SW 170th Ave"
"","100","Outbound","*","","9830","9830","Elmonica/SW 170th Ave"
"","10090","Outbound","*","","9830","9830","Elmonica/SW 170th Ave"
"","90","Outbound","*","","9830","9830","Elmonica/SW 170th Ave"
"","100","Inbound","*","","10117","10117","Goose Hollow/SW Jefferson"
"","10090","Inbound","*","","10117","10117","Goose Hollow/SW Jefferson"
"","90","Inbound","*","","10117","10117","Goose Hollow/SW Jefferson"
"","100","Inbound","*","","8378","8378","Old Town/Chinatown"
"","10090","Inbound","*","","8378","8378","Old Town/Chinatown"
"","90","Inbound","*","","8378","8378","Old Town/Chinatown"
"","190","Inbound","*","","8378","8378","Old Town/Chinatown"
"","100","Inbound","*","","8383","8383","Pioneer Square North"
"","10090","Inbound","*","","8383","8383","Pioneer Square North"
"","90","Inbound","*","","8383","8383","Pioneer Square North"
"","190","Inbound","*","","8383","8383","Pioneer Square North"
"","101","*","*","","12791","12791","SW Jefferson & 5th"
"","38","*","*","","12791","12791","SW Jefferson & 5th"
"","45","*","*","","12791","12791","SW Jefferson & 5th"
"","55","*","*","","12791","12791","SW Jefferson & 5th"
"","58","*","*","","12791","12791","SW Jefferson & 5th"
"","68","*","*","","12791","12791","SW Jefferson & 5th"
"","12","Outbound","*","","12781","12781","SW 3rd & Stark"
"","112","Inbound","*","","12781","12781","SW 3rd & Stark"
"","44","*","*","","12781","12781","SW 3rd & Oak"
"","155","Outbound","*","","11520","11520","Sunnyside Rd & Stevens"
"","156","Outbound","*","","11520","11520","Sunnyside Rd & Stevens"
"","155156","Outbound","*","","11520","11520","Sunnyside Rd & Stevens"
"","155","Inbound","*","","11519","11519","Sunnyside Rd & Stevens"
"","156","Inbound","*","","11519","11519","Sunnyside Rd & Stevens"
"","157","Inbound","*","","11519","11519","Sunnyside Rd & Stevens"
"","155156","Inbound","*","","11519","11519","Sunnyside Rd & Stevens"
"","31","Outbound","*","","3859","3859","McLoughlin & 17th"
"","33","Outbound","*","","3859","3859","McLoughlin & 17th"
"","36","*","*","","7879","7879","Tualatin Park & Ride"
"","76","*","*","","7879","7879","Tualatin Park & Ride"
"","96","*","*","","7880","7880","Tualatin Park & Ride"
"","76","*","*","","7880","7880","Tualatin Park & Ride"
"","37","*","*","","7879","7879","Tualatin Park & Ride"
"","38","*","*","","7879","7879","Tualatin Park & Ride"
"","38","*","*","","12792","12792","SW Columbia & 17th"
"","4","Inbound","*","","12780","12780","SW 3rd & Pine"
"","9","Inbound","*","","12780","12780","SW 3rd & Pine"
"","17","Inbound","*","","12780","12780","SW 3rd & Pine"
"","19","Inbound","*","","12780","12780","SW 3rd & Pine"
"","4","Inbound","*","","3506","3506","Lombard Transit Center"
"","6","Inbound","*","","3506","3506","Lombard Transit Center"
"","6","Outbound","*","","12794","12794","SW Columbia & 5th"
"","63","Inbound","*","","12790","12790","Jefferson & 4th"
"","6","Inbound","*","","12790","12790","Jefferson & 4th"
"","90","Outbound","*","","8339","8339","Old Town/Chinatown"
"","190","Outbound","*","","8339","8339","Old Town/Chinatown"
"","94","Inbound","*","","8792","8792","King City Hwy 99 & Durham Rd"
"","112","Outbound","*","","12767","12767","SW 4th & Main"
"","17","*","*","","12767","12767","SW 4th & Main"
"","19","*","*","","12767","12767","SW 4th & Main"
"","119","Inbound","*","","12767","12767","SW 4th & Main"
"","12","Inbound","*","","12767","12767","SW 4th & Main"
"","17","*","*","","12767","12767","SW 4th & Main"
"","19","*","*","","12767","12767","SW 4th & Main"
"","94","Inbound","*","","12767","12767","SW 4th & Main"
"","117","Inbound","*","","12767","12767","SW 4th & Main"
"TriMet","4","Inbound","*","","1098","1098","Rose Quarter Transit Center"
"TriMet","4","Inbound","*","","12786","12786","SW 3rd & Salmon"
"TriMet","135","Inbound","*","","12779","12779","SW 3rd & Pine"
"TriMet","104","Outbound","*","","12786","12786","SW 3rd & Salmon"
"TriMet","104","Outbound","*","","1415","1415","Division & 162nd"
"TriMet","104","Outbound","*","","1497","1497","Division & 82nd"
"TriMet","8","*","*","","1097","1097","Rose Quarter Transit Center"
"TriMet","8","*","*","","9305","9305","Lloyd Center Multnomah & 11th"
"TriMet","8","*","*","","4044","4044","Lloyd Center Multnomah & 11th"
"TriMet","8","*","*","","1098","1098","Rose Quarter Transit Center"
"TriMet","108","*","*","","5028","5028","OHSU"
"TriMet","61","*","*","","5028","5028","OHSU"
"TriMet","64","*","*","","5028","5028","OHSU"
"TriMet","65","*","*","","5028","5028","OHSU"
"TriMet","66","*","*","","5028","5028","OHSU"
"TriMet","68","*","*","","5028","5028","OHSU"
"TriMet","109","Outbound","*","","4537","4537","Powell & Milwaukie"
"TriMet","109","Outbound","*","","4542","4542","Powell & 98th"
"TriMet","109","Inbound","*","","4538","4538","Powell & Milwaukie"
"TriMet","10","*","*","","9368","9368","Sunderland & 33rd"
"TriMet","10","*","*","","1097","1097","Rose Quarter Transit Center"
"TriMet","10","*","*","","1098","1098","Rose Quarter Transit Center"
"TriMet","10","*","*","","9305","9305","Lloyd Center Multnomah & 11th"
"TriMet","10","*","*","","4044","4044","Lloyd Center Multnomah & 11th"
"TriMet","110","Outbound","*","","12779","12779","SW 3rd & Pine"
"TriMet","110","Outbound","*","","2599","2599","Hawthorne & 12th"
"TriMet","110","Inbound","*","","1818","1818","Foster & 82nd"
"TriMet","110","Inbound","*","","3637","3637","Madison & 11th"
"TriMet","10","Inbound","*","","12779","12779","SW 3rd & Pine"
"TriMet","4","Outbound","*","","1097","1097","Rose Quarter Transit Center"
"TriMet","6","Outbound","*","","3507","3507","Lombard Transit Center"
"TriMet","109","Inbound","*","","LO4Pin","12771",
"TriMet","77","Inbound","*","","1098","1098","Rose Quarter Transit Center"
"TriMet","77","Outbound","*","","1097","1097","Rose Quarter Transit Center"
"TriMet","112","Outbound","*","","10790","10790","Sandy & 148th"
"TriMet","119","Outbound","*","","6399","6399","28th & Woodstock"
"TriMet","12","Outbound","*","","8210","8210","Tigard Transit Center"
"TriMet","64","Outbound","*","","8210","8210","Tigard Transit Center"
"TriMet","12","Inbound","*","","8211","8211","Tigard Transit Center"
"TriMet","128","Inbound","*","","8222","8222","Milwaukie Transit Center"
"TriMet","70","Inbound","*","","8222","8222","Milwaukie Transit Center"
"TriMet","128","Inbound","*","","12742","12742","Clackamas Transit Center"
"TriMet","128","Outbound","*","","12741","12741","Clackamas Transit Center"
"TriMet","128","Outbound","*","","8219","8219","Milwaukie Transit Center"
"TriMet","70","Outbound","*","","8222","8222","Milwaukie Transit Center"
"TriMet","128","Outbound","*","","2498","2498","Harmony & Linwood"
"TriMet","128","Inbound","*","","2499","2499","Harmony & Linwood"
"TriMet","14","Outbound","*","","7460","2625",
"TriMet","14","Outbound","*","","2625","2625","Hawthorne & 39th"
"TriMet","14","Outbound","*","","1831","1831","Foster & I-205"
"TriMet","14","Outbound","*","","2599","2599","Hawthorne & 12th"
"TriMet","14","Inbound","*","","1831","1831","Foster & I-205"
"TriMet","14","Inbound","*","","1818","1818","Foster & 82nd"
"TriMet","14","Inbound","*","","3637","3637","Madison & 11th"
"TriMet","15","Outbound","*","","9218","9218","Main & 100th"
"TriMet","15","Inbound","*","","9211","9211","Main & 100th"
"TriMet","16","*","*","","12798","12798","SW Oak & 1st"
"TriMet","20","Inbound","*","","3104","3104","Mt Hood CC"
"TriMet","20","Inbound","*","","9860","9860","West Burnside & 19th"
"TriMet","20","Inbound","*","","9970","9970","Sunset Transit Center"
"TriMet","20","*","*","","9978","9978","Beaverton Transit Center"
"TriMet","20","Outbound","*","","9975","9975","Sunset Transit Center"
