route_id,route_short_name,route_long_name,route_desc,route_type
3,,736,SPOKANE WA - SEATTLE WA - TACOMA WA,,3
3,,901,WENATCHEE WA - SEATTLE WA,,3
3,,902,SEATTLE WA - WENATCHEE WA,,3
3,,737,TACOMA WA - SEATTLE WA - SPOKANE WA,,3
1,,730,SPOKANE WA - BOISE ID,,3
1,,734,SPOKANE WA - BOISE ID,,3
1,,735,BOISE ID - SPOKANE WA,,3
1,,731,BOISE ID - SPOKANE WA,,3
2,,801/803,OMAK WA - WENATCHEE WA - ELLENSBURG WA,,3
2,,802/804,ELLENSBURG WA - WENATCHEE WA - OMAK WA,,3
